well,condition,tile,filename,index,N_voxels,Area,Volume,shape_factor,Xc,Yc,Zc,Rg,EquivDiameter,Solidity,PrincipalAxisLengthRatio_1,PrincipalAxisLengthRatio_2,Ellipticity,Oblateness,N_voxels_collar,distance_from_sup_centre,number_of_neighbours,average_distance_to_neighbour,minimal_distance_to_neighbour,is_internal,Mean_nuc_sensor,Std_nuc_sensor,Skewness_nuc_sensor,Kurtosis_nuc_sensor,q_25_nuc_sensor,q_50_nuc_sensor,q_75_nuc_sensor,Mean_collar_sensor,Std_collar_sensor,Skewness_collar_sensor,Kurtosis_collar_sensor,q_25_collar_sensor,q_50_collar_sensor,q_75_collar_sensor,Mean_nuc_nucleus,Std_nuc_nucleus,Skewness_nuc_nucleus,Kurtosis_nuc_nucleus,q_25_nuc_nucleus,q_50_nuc_nucleus,q_75_nuc_nucleus,Mean_collar_nucleus,Std_collar_nucleus,Skewness_collar_nucleus,Kurtosis_collar_nucleus,q_25_collar_nucleus,q_50_collar_nucleus,q_75_collar_nucleus,Mean_nuc_membrane,Std_nuc_membrane,Skewness_nuc_membrane,Kurtosis_nuc_membrane,q_25_nuc_membrane,q_50_nuc_membrane,q_75_nuc_membrane,Mean_collar_membrane,Std_collar_membrane,Skewness_collar_membrane,Kurtosis_collar_membrane,q_25_collar_membrane,q_50_collar_membrane,q_75_collar_membrane,cyt_nuc_ratio_sensor,cyt_nuc_ratio_membrane,cyt_nuc_ratio_nucleus
B6,DMSO,1,B6_tile_1_fused_tp_0,9,56,51.3123,28.3333,1.1417,153.4107,160.4107,219,1.9599,4.7468,1,0.61487,0.60179,1.6438,0.74531,112,26.8119,8,26.4054,7.5118,0,889.3214,219.3104,1.0614,3.8053,727,828,1019,918.375,520.557,1.4479,4.4692,593.5,716.5,1061,360.5179,227.3576,1.1766,3.595,181,276,468.5,79.8214,33.8362,1.2691,4.4561,58,71,93,246.8929,144.8497,1.1953,3.4822,139,183.5,330,227.2232,114.316,1.2638,4.4508,147.5,202,278.5,0.4639,0.52399,0.20461
B6,DMSO,1,B6_tile_1_fused_tp_0,10,6252,1893.904,5512.8333,1.2549,136.9555,113.2364,233.4371,10.1913,22.8563,0.82209,0.55007,0.48403,1.934,0.62453,1683,25.7339,11,28.5197,18.805,0,985.4274,254.1908,3.0229,20.4321,872,951,1053,909.552,582.5055,1.549,6.6509,463.5,846,1137,4244.3979,1424.2365,0.02435,2.3206,3140.5,4294.5,5291.5,859.9067,361.826,0.5721,3.3666,593,828,1096,136.8279,82.4543,2.0907,15.2662,74,122,181,289.2721,158.0573,3.7492,36.2772,201.25,260,338.75,0.47078,0.68063,0.16164
B6,DMSO,1,B6_tile_1_fused_tp_0,11,27,28.1701,11.1667,1.166,134.2963,152.8519,220.3333,1.5035,3.7221,0.93103,0.82082,0.6918,1.3222,0.75987,75,23.5713,8,21.8063,19.0557,0,9880.8516,3556.7957,0.061581,1.7068,6418.5,9785,12734.25,6436.0269,4063.0845,1.1048,3.09,3150.25,5096,8609.75,561.1111,137.0068,0.3189,2.3867,468.5,526,680.75,288.6667,144.6491,0.67261,2.772,175,274,374,78.2222,20.0006,1.2849,4.269,64,72,84,85.56,19.0243,0.27846,2.6851,71,86,97.75,0.34245,0.5443,0.3425
B6,DMSO,1,B6_tile_1_fused_tp_0,12,53,48.898,26.6667,1.1328,155.5472,155.3585,224.1321,1.9003,4.6604,1,0.66002,0.63459,1.5449,0.76455,108,21.5383,10,24.2181,7.5118,1,980.3774,291.1577,1.2452,4.0443,783.5,909,1119.75,1101.9907,527.5569,1.0936,2.9083,694.5,862,1401.5,618.2075,307.9583,1.0688,3.736,406.25,522,795.25,162.213,67.9743,1.5188,6.7691,117,144.5,197,243.1698,54.2213,0.92245,3.949,204,238,268.75,270,101.3586,1.4415,5.0543,200,255.5,300,0.48673,0.51773,0.2168
B6,DMSO,1,B6_tile_1_fused_tp_0,13,427,268.7165,305,1.2263,152.9883,142.0141,226.2529,4.054,9.3428,0.86789,0.63197,0.50862,1.7535,0.62332,319,8.1969,14,25.6474,11.5991,1,774.2693,111.2153,0.73209,4.2969,711,762,812,844.3793,293.0748,2.1172,7.0731,683,732,846,1753.6932,980.5925,1.1634,3.5269,1003.75,1450,2265.75,409.7085,147.0835,0.57448,3.0101,291,396,512,314.904,75.6463,0.60215,3.8056,259,314,363,306.4106,121.3656,0.99831,4.4827,205.25,302,374,0.48996,0.49026,0.21452
B6,DMSO,1,B6_tile_1_fused_tp_0,14,3907,1241.2078,3399.1667,1.1353,178.7801,148.4878,232.785,7.921,19.5411,0.93357,0.70744,0.62453,1.5015,0.73153,1197,33.6429,8,31.6431,20.3438,0,792.1564,130.1254,0.65213,7.7823,724,799,859,614.7744,324.0875,2.0425,8.3327,414.5,588,669.25,3058.9968,1075.8351,-0.1259,2.2704,2187.25,3191,3876,565.9666,263.6797,1.6611,6.4325,385,504,668,46.0901,33.7339,1.3637,5.8914,21,39,64,94.3952,60.1626,1.9691,8.1012,55,81,114.25,0.42394,0.675,0.1364
B6,DMSO,1,B6_tile_1_fused_tp_0,15,1084,521.9298,872.5,1.182,144.607,141.9797,234.2712,5.1894,12.7451,0.8672,0.815,0.62791,1.3861,0.69191,484,11.1281,12,22.4529,11.5991,1,935.155,386.9613,1.467,4.4821,669,779,1094.5,1323.938,655.8315,0.78095,2.3297,781.5,1034.5,1814,1945.0959,697.0007,0.60149,2.5941,1360,1832,2405,618.2582,196.326,1.4772,7.3695,494,589.5,716,316.1227,85.8171,0.79705,2.9677,248,297,371,351.7335,134.5462,0.45447,2.2875,245.5,325.5,458.5,0.57044,0.52289,0.24344
B6,DMSO,1,B6_tile_1_fused_tp_0,16,3170,1114.8785,2713.6667,1.185,126.1634,152.9177,237.5662,7.5843,18.2258,0.91092,0.72098,0.55569,1.5666,0.64579,952,30.6938,8,24.9454,15.5564,0,1044.8419,198.7754,-0.13487,3.4067,928,1049,1163,633.5504,253.5094,-0.32095,1.9237,432,668.5,848.5,3806.5117,1484.8042,0.12862,2.4575,2621,3881.5,4823,626.8456,263.6332,2.0761,12.421,448.5,577.5,733.5,57.6256,47.8048,1.4632,6.163,21,46,82,132.9737,57.5271,0.75781,4.2934,93,130,164,0.38923,0.73864,0.12951
B6,DMSO,1,B6_tile_1_fused_tp_0,17,393,264.4902,276.3333,1.2891,133.1832,139.3232,234.7532,4.1517,9.0879,0.84154,0.50207,0.45731,2.0847,0.60891,296,17.9752,10,22.3195,11.7385,1,730.0865,142.1633,1.6196,6.718,627.75,701,787,911.5676,297.6911,1.9529,7.394,736,852.5,968.5,2236.6489,501.3534,0.23656,2.4236,1861.75,2212,2597,923.6486,297.4644,0.39892,3.0255,703,904,1119.5,271.3511,40.0302,0.75972,4.5278,244,268,295,269.4763,71.7804,0.44144,2.9733,215.5,266.5,308.5,0.54876,0.4986,0.29012
B6,DMSO,1,B6_tile_1_fused_tp_0,18,3223,1186.4809,2740.5,1.2528,122.0568,138.691,243.646,7.6352,18.3268,0.83497,0.83132,0.61417,1.3836,0.67074,1027,31.7947,7,27.7035,14.2576,0,1002.1921,183.9042,0.079381,3.1364,887,1003,1107,687.8802,211.2879,0.68695,5.005,565,694,802,3517.0151,1383.5656,0.14396,2.3307,2365.25,3591,4451.5,710.4197,278.0426,0.76886,3.6514,511.25,674,859.75,62.5424,31.6223,0.62537,3.2034,37,59,84,125.1655,41.401,1.0726,6.7352,97,122,150,0.40896,0.67403,0.15803
B6,DMSO,1,B6_tile_1_fused_tp_0,19,2382,929.0878,1994.5,1.2125,163.8589,127.1352,248.4316,6.9726,16.5697,0.88288,0.65297,0.56172,1.6465,0.67965,705,27.9381,9,28.9059,12.1625,0,862.2158,146.6338,-1.201,4.3624,811,896,961,575.9135,245.2399,-0.22214,1.5672,327,638,798.25,4327.8345,1558.4199,-0.076379,2.035,3000,4488,5584,890.3475,386.2571,0.67462,3.1223,601.75,846,1117.5,90.4799,43.7913,0.89831,3.4023,57,82,115,157.9546,69.4409,0.7509,3.5626,103,148,204,0.41591,0.64348,0.15861
B6,DMSO,1,B6_tile_1_fused_tp_0,20,1435,676.5664,1146.1667,1.2774,159.2202,138.108,250.8822,6.3374,13.9943,0.89408,0.52731,0.43099,2.087,0.56438,491,26.8164,7,21.9752,12.1625,0,886.4864,162.3715,-0.57634,2.9956,787.25,908,1003,678.4135,236.8792,-0.46273,2.1873,490,750,858,4121.5938,1808.5779,0.36821,2.0583,2510,3920,5493.5,934.4257,296.2802,1.672,6.7671,733.25,863,1045.75,99.1665,45.4714,1.1216,3.7494,66,87,121,153.0163,73.0198,0.5856,2.1069,90,131,210,0.45235,0.60092,0.18043
B6,DMSO,1,B6_tile_1_fused_tp_0,21,2637,986.0331,2217.6667,1.199,148.6849,121.102,251.6682,7.1519,17.141,0.87637,0.77763,0.57145,1.4825,0.64293,843,28.8454,9,27.5146,16.6471,0,861.0956,140.0711,-0.86661,3.8535,795,883,955,642.3416,219.9351,-0.44531,2.1991,484.25,688,808.75,4319.1187,1495.8839,0.069326,2.137,3115.5,4307,5470.75,1023.5421,398.5544,1.6677,7.5872,755.5,935,1201,107.8635,52.0395,1.7903,7.434,72,97,124,173.8529,73.4195,1.2552,4.0513,125,149,205,0.43794,0.60569,0.17837
B6,DMSO,1,B6_tile_1_fused_tp_0,22,1138,525.6869,918.5,1.1504,148.2179,143.0281,255.3102,5.2329,12.9533,0.90605,0.72146,0.65594,1.452,0.76208,509,29.9208,10,27.7736,12.84,0,792.9051,159.5574,-0.83743,3.234,708,834,900,595.1906,203.8656,-0.49576,1.7915,410.5,666,767.25,1581.8585,468.9973,-0.14347,2.4531,1225,1661,1885,514.9371,237.0424,1.2774,4.5743,341.75,467,618.25,133.3181,50.6621,1.793,9.1746,96,121,160,161.4067,64.4647,1.2912,6.506,108,161,196,0.444,0.57092,0.21945
B6,DMSO,2,B6_tile_2_fused_tp_0,1,4625,1429.8706,4058.1667,1.1621,184.235,135.8945,125.5524,8.4676,20.6715,0.92927,0.82406,0.56576,1.439,0.62033,1417,59.2533,6,36.843,23.0806,0,1182.7001,211.4234,-1.1736,4.0657,1083,1243,1329,864.0071,334.3659,-0.501,1.9961,563,963,1136.25,2831.499,1039.0371,0.30834,3.1249,2013.75,2909,3513,589.3599,319.3371,1.1701,3.9317,375.75,512,704.25,102.7321,59.4445,1.523,5.5481,62,89,122,178.3423,89.1385,0.88947,3.3852,111,150,245,0.43654,0.62762,0.14966
B6,DMSO,2,B6_tile_2_fused_tp_0,2,4987,1545.6273,4382.6667,1.1934,127.0977,153.4131,127.1442,8.8337,21.1973,0.90821,0.78759,0.52794,1.5203,0.59068,1511,55.5604,10,59.7586,43.7446,0,1517.2321,293.0424,-0.32717,2.7639,1316,1526,1737,961.6492,308.8785,-0.68471,2.5667,802.25,1021,1183,3417.7073,1507.6898,0.046064,1.9908,2038,3536,4652.75,455.2945,208.3944,0.28777,2.7098,299.25,453,591,62.3848,39.1314,1.047,5.5546,32,59,86,123.0854,54.1449,2.8564,26.2667,93.25,116,146,0.40086,0.66286,0.11356
B6,DMSO,2,B6_tile_2_fused_tp_0,3,886,438.4759,701.8333,1.1481,156.895,107.8544,127.8375,4.695,11.9164,0.921,0.9386,0.79263,1.1552,0.81774,501,52.3623,8,45.8188,19.0742,0,1181.6456,232.1631,-0.60432,2.5537,1033,1228.5,1363,869.4351,344.8471,-0.39631,1.8542,562,984,1147.25,742.842,230.429,0.76581,5.3631,603,721,876,262.0798,221.6708,1.8338,6.5619,113,183,338,86.7257,45.9258,1.0061,3.5018,51,73.5,112,142.1317,68.0839,1.1405,4.4314,93,128,177,0.44475,0.63524,0.20243
B6,DMSO,2,B6_tile_2_fused_tp_0,4,5540,1742.9604,4886.5,1.2516,173.3256,108.0942,139.7792,9.2312,21.9535,0.91616,0.62631,0.54756,1.7038,0.67338,1510,47.9048,10,44.1301,20.3132,0,1155.288,97.0623,-0.29325,3.9171,1101,1161,1215,1115.4146,178.0076,1.3619,7.5136,1014,1104,1194,2654.4224,946.6709,0.46552,3.9756,2012,2687,3203,553.6424,266.0109,1.1293,4.6444,360,509.5,685,72.2756,44.3863,1.1978,5.0748,39,63,97,152.7417,64.9629,0.85859,3.8118,108,141,184,0.48742,0.69118,0.15939
B6,DMSO,2,B6_tile_2_fused_tp_0,5,1059,494.4642,845.8333,1.1432,159.8121,125.3881,134.7573,5.017,12.6464,0.91293,0.94725,0.77285,1.1627,0.79379,439,40.6665,6,25.0747,18.1638,1,998.4976,102.5448,-0.18064,2.227,923,1002,1085.75,911.8998,154.8022,0.98535,2.8877,797,863,989,3210.2871,1067.3583,0.088235,2.5183,2419.5,3236,3912.5,786.7266,476.3028,0.9588,3.5252,431.25,633,1113.25,107.678,38.703,0.57236,2.8407,77,101,135,166.2005,38.8066,0.65253,3.5414,136,163,190,0.46273,0.61742,0.16361
B6,DMSO,2,B6_tile_2_fused_tp_0,6,6424,1915.895,5678.5,1.2447,170.1108,137.3468,143.7489,9.6657,23.0641,0.8436,0.71958,0.58722,1.5305,0.68299,1634,36.4673,9,38.432,18.1638,1,1118.781,109.2594,0.39637,2.9893,1038,1112,1191,1078.8538,224.6732,1.2683,4.2212,914,1001,1201,4221.5293,1311.022,0.53575,3.4231,3291.5,4100.5,5083.5,1155.9902,467.1031,0.50205,2.9291,789,1115,1462,80.661,42.2363,1.6388,6.9392,51,71,99,157.4039,49.0009,0.88743,4.0978,121,149,186,0.47373,0.67727,0.21379
B6,DMSO,2,B6_tile_2_fused_tp_0,7,4109,1368.2015,3563.8333,1.2126,154.1321,124.6172,152.6788,8.4707,19.8722,0.87556,0.6406,0.53807,1.6968,0.65595,1333,22.6883,11,38.2402,18.8158,1,1760.3431,219.1258,-0.17975,2.7403,1612,1770,1911,1406.8612,277.2345,0.40836,3.0462,1213.25,1397,1575.25,2843.3501,998.5305,0.22138,3.1119,2115,2895,3508,708.6917,418.1494,1.3546,5.339,440,633,872.5,101.1701,56.9732,1.4716,5.3043,60,83,125.25,176.0067,77.9631,1.1149,4.7545,116,158,226,0.44111,0.6556,0.17942
B6,DMSO,2,B6_tile_2_fused_tp_0,8,3909,1278.3476,3406.6667,1.1676,195.593,150.2001,158.5879,8.0225,19.5444,0.90131,0.73297,0.5809,1.5222,0.67041,1275,51.5433,8,54.6903,32.1674,0,1586.9547,228.1819,0.29305,3.698,1447.75,1587,1716,1471.978,467.3654,0.69851,3.0796,1154.5,1394,1682.5,2289.4729,1069.0195,0.34083,2.1393,1308.75,2199,3156.25,407.9333,133.5725,-0.045917,2.3571,309,407,510.75,89.3715,40.0211,1.6853,8.0808,62,82,107,133.9796,54.7076,0.83042,4.3836,99,126,165,0.46763,0.60577,0.15618
B6,DMSO,2,B6_tile_2_fused_tp_0,9,1049,482.6562,844.8333,1.1168,112.3003,131.0038,165.8294,4.9705,12.6064,0.92668,0.85078,0.76196,1.2401,0.82339,519,38.0367,8,37.7009,14.3162,0,1578.0963,174.3644,-0.15323,2.926,1463.75,1582,1692,1403.4316,307.0435,0.23654,2.7528,1219.25,1388,1552.25,572.6368,197.1788,0.46256,3.5214,441,568,698,184.316,130.1586,2.2603,8.0035,109,139,191.75,185.2088,75.0204,1.2532,4.4149,129.75,164,220,270.7553,81.3812,1.1633,4.6549,214.25,254,311.25,0.46734,0.60766,0.19661
B6,DMSO,2,B6_tile_2_fused_tp_0,10,6282,1755.3861,5607.5,1.15,176.3324,128.4499,176.5802,9.3157,22.8928,0.92505,0.72802,0.59528,1.5114,0.68897,1667,27.2775,12,48.5799,32.8454,1,1170.1368,137.9462,1.3951,7.2517,1082,1151,1234,1279.2273,297.6625,1.076,4.4899,1074,1230,1409.75,2049.1636,729.1746,0.37157,2.8434,1476,2033,2555,439.5141,129.8039,-0.1005,2.2637,341,450,536.75,72.2628,45.2924,4.1629,47.3236,44,62,88,134.4037,72.246,3.9584,34.2414,89,120,160,0.51659,0.65934,0.18123
B6,DMSO,2,B6_tile_2_fused_tp_0,11,5026,1525.6058,4447.5,1.1665,126.6228,107.9712,177.163,8.8682,21.2524,0.91365,0.63873,0.54509,1.6894,0.66526,1445,33.7511,9,39.5084,23.4531,0,994.8675,112.2858,0.21796,2.9247,918,987,1071,1009.665,288.86,1.1962,4.9462,793,952,1160.25,2038.9254,708.034,0.46415,3.6756,1568,2033,2435,453.4893,223.5134,1.1859,3.7153,296,387,538,94.2949,56.4304,1.952,8.744,56,77,117,183.8962,85.1866,0.98465,3.8762,116,170,232,0.49097,0.68826,0.15992
B6,DMSO,2,B6_tile_2_fused_tp_0,12,1405,657.5947,1133.1667,1.2511,117.1246,137.0242,177.889,5.7667,13.8961,0.85933,0.85075,0.61282,1.3665,0.66224,480,33.026,9,37.8417,12.2756,1,1338.7765,201.2704,0.080216,2.1811,1174,1338,1501.25,1339.4604,299.6454,0.70271,3.2548,1129.5,1292.5,1531,2114.5645,896.4801,1.0652,4.2215,1448.5,1963,2576.75,509.575,219.9376,2.1983,8.0492,380.5,450.5,538.5,231.6648,112.2814,1.3851,4.6236,152.75,198,277,471.3979,277.7914,1.2256,3.753,268.5,374,585.5,0.49135,0.65385,0.18666
B6,DMSO,2,B6_tile_2_fused_tp_0,13,3290,1197.1599,2830.5,1.2372,122.5599,132.3383,187.8483,7.452,18.4529,0.86193,0.93271,0.80806,1.1489,0.83619,965,30.5725,10,34.4705,12.2756,1,1372.2766,156.3693,0.68547,3.6915,1263,1354,1463,1327.7513,327.9609,1.3056,4.0662,1106,1213,1479,2401.3931,747.733,0.18944,2.7404,1848,2409,2918,610.571,241.5641,1.063,4.2405,444,568,722.5,195.9562,87.5579,0.97676,3.3757,126,174,247,283.0984,78.7004,0.80746,5.2939,223,280,327,0.47254,0.61674,0.1908
B6,DMSO,2,B6_tile_2_fused_tp_0,14,4557,1399.6435,4016.6667,1.1454,118.9693,153.6836,194.7435,8.3322,20.5696,0.92528,0.73946,0.61499,1.4766,0.7071,1360,42.8602,12,50.6769,22.7169,0,1032.4663,166.9346,0.066606,2.4081,907,1025,1160,828.9044,240.8995,-0.24609,3.1664,681,855.5,987,2643.0608,1143.0815,0.68656,3.0829,1755.5,2505,3364,520.2956,177.4282,1.5984,5.738,405,478,573.5,122.9866,54.8698,0.82683,3.2969,80,112,157,192.6066,66.419,1.8287,12.6182,148,186,226,0.45493,0.62416,0.16024
B6,DMSO,2,B6_tile_2_fused_tp_0,15,3083,1059.4378,2674.1667,1.1371,121.8693,109.0328,200.1048,7.2091,18.0575,0.92002,0.90712,0.67141,1.267,0.7041,1000,44.9987,7,34.1499,19.0564,0,1753.3108,245.8552,-0.38735,4.7828,1633,1764,1889,1375.483,352.3799,-0.63067,2.9831,1208,1448.5,1615.5,3338.28,1263.6927,0.0032054,1.987,2199.25,3441,4361.75,754.318,243.3185,0.41691,3.7864,578,745,910.5,88.4463,41.465,1.7766,6.7595,61,78,102,129.563,61.6735,1.0733,3.5036,84,108,168,0.45089,0.58065,0.17797
B6,DMSO,2,B6_tile_2_fused_tp_0,16,4466,1338.9801,3936,1.1107,187.5685,147.869,204.3023,8.0976,20.4318,0.93824,0.76252,0.72256,1.3467,0.81992,1326,51.33,6,50.4198,35.6632,0,1447.3251,241.5938,0.46614,3.5402,1288,1424,1599,1248.6531,425.2709,1.5522,6.003,981,1180,1352,2580.2468,1124.2465,0.28607,2.4164,1521,2626,3456,464.7451,128.0285,0.0048129,2.3892,375,466,560,101.6283,41.9598,1.1535,4.2839,71,92,121,150.5083,53.4441,0.79103,3.2394,108,141,182,0.45315,0.60515,0.15071
B6,DMSO,2,B6_tile_2_fused_tp_0,17,4062,1285.4279,3557.6667,1.1406,138.2267,103.4143,208.1056,7.9625,19.7961,0.92381,0.79598,0.64509,1.3879,0.71837,1227,46.6127,9,52.1101,19.0564,0,2014.9904,381.8237,-0.88972,4.1024,1824,2072,2273,1468.8395,456.0132,-0.47013,2.7581,1215.5,1556,1753.75,3758.5903,1622.946,0.22274,1.9285,2287,3667.5,5126,748.4621,209.4013,0.87367,4.3432,601,720,865,76.5682,33.5474,1.1973,4.5814,53,68,93,118.8582,61.1114,0.5411,2.3855,68,107,165,0.42889,0.61143,0.1641
B6,DMSO,2,B6_tile_2_fused_tp_0,18,4183,1369.0129,3636.6667,1.1971,138.0098,148.0674,221.3058,8.52,19.9908,0.90974,0.67486,0.48776,1.7202,0.58245,1249,51.6249,6,34.1229,16.7617,0,1146.6113,191.8477,-0.2282,2.8489,1025,1148,1286,867.1289,246.2305,-0.088854,2.4948,672.5,899,1040.25,2033.198,701.0539,-0.028551,2.1713,1456,2081,2558,472.0416,202.4398,2.8259,20.8052,350,445,557,62.4098,23.5707,0.50498,2.9334,45,60,77,95.9095,30.0562,1.2461,8.0578,74,94,114,0.43918,0.61039,0.17617
B6,DMSO,2,B6_tile_2_fused_tp_0,19,3577,1187.4419,3073,1.1617,155.2846,159.8608,221.7134,7.5359,18.9746,0.92789,0.87556,0.80794,1.188,0.86154,944,55.7798,7,50.0685,12.0271,0,895.9564,182.9589,-0.98084,3.9582,828.75,923,1012,703.6685,285.5771,-0.55513,1.9081,439.5,812,922.5,2138.2712,739.3576,0.20493,2.5735,1581,2151,2641.5,501.089,212.8842,1.5003,6.2096,349,457,578.5,32.7758,20.641,1.1537,4.5407,18,29,42,57.5667,25.6835,1.0302,3.9278,39,51,71,0.46801,0.6375,0.17523
B6,DMSO,2,B6_tile_2_fused_tp_0,20,1130,542.1753,898.3333,1.2042,154.623,147.9903,223.531,5.3305,12.9229,0.89258,0.9253,0.6026,1.309,0.62598,393,52.6658,7,38.4008,12.0271,0,985.5345,144.4146,-0.67626,2.9712,890,1007,1100,868.7888,232.7216,-0.5983,2.5675,738,917,1034.25,1961.4796,607.5774,-0.20893,2.1873,1478,2058,2402,509.0432,204.039,1.647,7.1842,360.75,469,597.75,60.3832,25.114,1.1024,4.8115,42,56,74,105.9669,39.1376,1.5486,6.1102,78,97,121,0.47661,0.63399,0.1856
B6,DMSO,3,B6_tile_3_fused_tp_0,1,1548,653.0885,1259.6667,1.1578,140.2481,146.6021,148.9961,5.8022,14.3524,0.92973,0.88818,0.66483,1.2878,0.70421,489,42.3544,8,40.3806,10.4132,0,1209.1473,314.938,-1.0015,3.2937,1059,1293,1442,690.227,418.6158,-0.14728,1.3215,216.75,787,1082,4527.5137,1702.3121,0.14954,2.8773,3201,4630.5,5773,843.7096,497.6496,1.1126,3.7409,479.5,669,1150.25,64.1673,42.2802,0.98597,3.7193,31,55,88,99.7362,57.9062,0.67667,4.1188,44,97,141,0.37837,0.63816,0.12624
B6,DMSO,3,B6_tile_3_fused_tp_0,2,2989,1131.2375,2514.3333,1.2651,149.002,141.2372,147.2576,7.5402,17.8721,0.79389,0.74554,0.66736,1.4155,0.76464,938,41.183,10,40.6476,10.4132,0,1243.439,292.8075,-1.0685,3.6151,1103,1323,1452,825.2943,412.8107,-0.55847,1.7412,405,1009,1170,4250.4688,1711.7539,0.019929,2.132,2841.5,4359,5557.5,654.403,396.9426,1.3339,5.6903,353,567,873,59.5162,34.9911,0.60327,2.8502,30,55,83,109.8518,49.477,0.059639,2.4663,75,112,145,0.43268,0.67066,0.1151
B6,DMSO,3,B6_tile_3_fused_tp_0,3,4664,1544.0028,4080.6667,1.2503,174.2305,122.9211,166.8971,8.3126,20.7294,0.91201,0.87107,0.71263,1.2629,0.76174,1399,32.4179,8,30.8727,22.1693,0,658.1672,108.3471,-0.93861,4.451,604,672,734,560.7313,231.1143,-0.78654,2.1921,390.75,664,735,3305.3208,1117.1371,-0.1568,2.3001,2457.5,3438,4134.5,655.8649,394.0609,1.3503,3.8497,390,500,795.75,41.5045,28.1563,1.2223,5.283,20,36,57,106.5046,74.319,2.3808,10.3687,63,85,123,0.49701,0.70248,0.12697
B6,DMSO,3,B6_tile_3_fused_tp_0,4,4843,1486.5542,4268.5,1.1682,137.0425,146.2434,170.0716,8.3334,20.9913,0.9209,0.83937,0.70714,1.2932,0.7689,1402,26.1708,8,28.6421,20.9259,1,1290.2881,145.3217,-0.21499,2.3889,1185,1300,1405,966.368,96.827,-0.55353,4.3706,913,974,1031,3952.9968,1268.865,0.14158,3.047,3081.5,3987,4788.5,749.4387,368.3497,0.73265,2.8132,454,679.5,993,60.6442,42.1641,1.1579,4.3011,27,49,85,159.4137,62.4851,1.3031,4.996,116,146,183,0.42832,0.74872,0.14561
B6,DMSO,3,B6_tile_3_fused_tp_0,5,4933,1461.8414,4360.6667,1.1325,168.7738,150.8534,174.03,8.5351,21.1205,0.93393,0.69552,0.63729,1.5006,0.75173,1435,28.2306,10,32.9519,21.8267,0,768.6985,77.7108,-0.24737,3.0505,719,772,823,723.4836,88.8511,0.82032,4.7091,664,712,769,3736.6614,1269.3177,-0.11483,2.2096,2710.5,3865,4696.5,650.7443,264.3648,1.083,4.4838,464,608,779.75,53.4146,42.9136,1.6585,6.7242,22,41,73,152.1429,74.7507,0.91037,3.2343,91,133,201,0.47978,0.76437,0.13593
B6,DMSO,3,B6_tile_3_fused_tp_0,6,4371,1466.4975,3811.5,1.2428,140.8046,127.0684,177.5589,8.2518,20.2859,0.91482,0.79781,0.63176,1.399,0.70281,1262,15.8203,11,30.7748,20.119,1,1093.6428,129.8346,-0.23087,2.843,1008,1108,1182,801.0507,102.5557,0.55287,2.9515,728,785,871,3690.5696,1107.7184,-0.245,2.5351,2925.25,3801,4476.5,753.1759,380.6278,0.78283,3.2707,453,684,987,73.8007,45.8928,1.3453,5.2097,39,61,98.75,181.4707,75.2974,0.96104,5.4793,129,172,226,0.41469,0.7382,0.15251
B6,DMSO,3,B6_tile_3_fused_tp_0,7,3848,1497.5505,3277.8333,1.4034,159.9392,132.1848,181.0894,7.9761,19.4422,0.87854,0.80393,0.74038,1.2951,0.82085,1168,10.7243,13,28.5944,20.119,1,576.9626,64.6002,0.52087,3.9907,533,571,616,600.762,103.0242,0.33303,3.2246,534,588,666,3447.4343,534.5651,0.14054,3.075,3104.5,3432,3776.5,1201.286,446.7503,0.59956,2.9269,866,1147,1472.5,92.1159,62.1817,1.7151,6.1573,50,73,113,211.0325,96.1542,0.86716,4.0737,145,194,263,0.50733,0.72659,0.25049
B6,DMSO,3,B6_tile_3_fused_tp_0,8,2662,998.1201,2247.1667,1.203,158.1833,108.4538,184.2461,7.3794,17.195,0.91952,0.68225,0.45689,1.7557,0.54319,915,25.8112,9,26.8058,15.7456,1,917.926,92.8347,-0.19587,2.5332,849,924,988,764.9454,138.4483,0.76927,3.5494,676.5,736,838.75,4053.2341,1238.442,-0.090259,2.765,3190,4164,4878,909.9093,458.6037,0.68892,2.5825,537.75,795,1245.25,138.2472,96.9666,1.5355,4.745,70,104,168,235.9137,96.9808,1.2602,4.877,164.25,211,290,0.44337,0.66984,0.16031
B6,DMSO,3,B6_tile_3_fused_tp_0,9,4441,1359.351,3898,1.1349,157.3841,169.4819,184.7584,8.1133,20.3936,0.92733,0.95591,0.7073,1.2025,0.72324,1362,36.923,8,35.9444,22.5149,0,845.1925,154.9611,0.062356,3.7309,749,838,941.25,546.0594,202.6578,-0.55709,2.101,368,612.5,702,4000.8088,1590.1573,0.37138,2.9828,2658.25,4045,5059,687.9236,240.4745,0.57524,3.6507,519,668,822,53.8163,54.9084,2.1995,9.5589,16,40,71,134.8436,110.7593,1.7601,6.3632,65,93,175,0.42227,0.69925,0.14174
